what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1392804176694
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1392804176720
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1392804176760
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392804192297
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392804197347
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392804197415
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392804197732
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392804197908
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392804200644
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392804201315
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811480205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811488517
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811492196
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811508966
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811568372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811744021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392811746300
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392813733591
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392813734885
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392813735795
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392813736160
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1392813737072
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1392813737118
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1392813737134
