what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1392904100694
ws,sysinfo,,,"win32",1392904100694
locale,sysinfo,,,"zh_TW",1392904100694
processors,sysinfo,,,"4",1392904100694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392904100694
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1392904100694
java.specification.name,sysinfo,,,"Java Platform API Specification",1392904100694
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392904100694
java.specification.version,sysinfo,,,"1.7",1392904100694
java.vendor,sysinfo,,,"Oracle Corporation",1392904100694
java.version,sysinfo,,,"1.7.0_51",1392904100694
java.vm.info,sysinfo,,,"mixed mode, sharing",1392904100694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392904100694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392904100694
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392904100694
java.vm.specification.version,sysinfo,,,"1.7",1392904100694
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392904100694
java.vm.version,sysinfo,,,"24.51-b03",1392904100694
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1392904100712
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1392904100749
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1392904100848
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1392904100867
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1392904101102
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1392904101107
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1392904101119
