what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281793137
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1390281795849
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281796037
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1390281796051
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1390281796051
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1390281798234
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390281799950
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1390281801115
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281803354
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281814260
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281821972
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281822033
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281822050
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281823414
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281826430
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281826478
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281826495
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281827687
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1390281827701
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1390281828988
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281836075
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281836627
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281845415
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281897033
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281897479
