what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390401955808
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390401964515
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1390401972539
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1390401972570
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390401974340
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390401985182
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390402013004
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402050803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402067148
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402068115
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402179210
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1390402215029
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390402218865
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390402251425
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402253412
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402254762
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390402257702
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390402261151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402264744
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402275585
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402549366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402551396
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402553432
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402564345
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390402646373
