what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390490251805
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390490256556
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390490262993
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490279485
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490369160
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490379034
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490401128
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390490403287
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390490404646
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1390490406320
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490417425
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490419497
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390490422312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390490439794
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390490439948
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390490454332
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390490457271
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490459156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390490461287
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1390490464409
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1390490464410
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1390490465136
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1390490465144
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1390490467854
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1390490468276
