what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632633653
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632634277
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632636113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632642901
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632695935
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392632699070
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392632703860
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632714821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632716888
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1392632856918
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392632862161
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392632874228
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392632878612
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632889351
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632899338
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632912214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392632926065
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392636241190
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392643298791
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392643303572
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392643683273
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392643686083
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392643686242
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392643689494
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392643695960
