what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392470250979
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1392470250979
java.specification.name,sysinfo,,,"Java Platform API Specification",1392470250979
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392470250979
java.specification.version,sysinfo,,,"1.7",1392470250979
java.vendor,sysinfo,,,"Oracle Corporation",1392470250979
java.version,sysinfo,,,"1.7.0_51",1392470250979
java.vm.info,sysinfo,,,"mixed mode, sharing",1392470250979
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392470250979
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392470250979
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392470250979
java.vm.specification.version,sysinfo,,,"1.7",1392470250979
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392470250979
java.vm.version,sysinfo,,,"24.51-b03",1392470250979
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1392470250982
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1392470250983
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1392470251021
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1392470251222
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1392470251336
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1392470251385
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1392470251412
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1392470252131
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1392470252198
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1392470252342
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1392470252344
