what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1390282944759
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1390282944760
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1390282944761
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1390282944761
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1390282944762
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1390282944763
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1390282944763
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1390282944764
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1390282944765
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1390282944765
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1390282944766
started,bundle,net.sourceforge.eclipsesdcc,1.0.0,"net.sourceforge.eclipsesdcc",1390282944767
os,sysinfo,,,"win32",1390282944770
arch,sysinfo,,,"x86",1390282944770
ws,sysinfo,,,"win32",1390282944770
locale,sysinfo,,,"zh_TW",1390282944770
processors,sysinfo,,,"4",1390282944770
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390282944770
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1390282944770
java.specification.name,sysinfo,,,"Java Platform API Specification",1390282944770
java.specification.vendor,sysinfo,,,"Oracle Corporation",1390282944770
java.specification.version,sysinfo,,,"1.7",1390282944770
java.vendor,sysinfo,,,"Oracle Corporation",1390282944770
java.version,sysinfo,,,"1.7.0_45",1390282944770
java.vm.info,sysinfo,,,"mixed mode, sharing",1390282944770
