what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sourceforge.eclipsesdcc,1.0.0,"net.sourceforge.eclipsesdcc",1390281724981
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1390281725003
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1390281725026
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281725782
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390281726117
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1390281730591
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1390281730653
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281736714
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281739745
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1390281739921
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1390281739933
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281744008
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281749847
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1390281753294
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1390281753313
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1390281753356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281754619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281772346
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390281772928
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390281777554
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390281780865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281786765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390281788953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1390281788969
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1390281793035
