what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283574758
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390283862703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283865424
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283866378
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390283869457
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390283882783
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.findNext",1390283889871
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.open.quick.type.hierarchy",1390283892552
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390283926460
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283927534
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283928441
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390283931548
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390283949756
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283956847
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390283957759
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390283959857
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390283962271
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390283987374
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1390283999448
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1390283999463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390284010651
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390284012876
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390284013251
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390284088521
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1390284096036
