what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279720070
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279721404
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279725179
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279734706
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279744451
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279767308
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279776459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279795867
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392279806194
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279812216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279821745
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279830019
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279839748
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392279849337
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279857682
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279872316
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279874024
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279883547
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392279896642
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392295000793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392295000953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392295007044
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392295013597
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392295033124
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1392295128293
