what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394434944855
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1394434947108
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394434958594
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1394434973033
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394434973993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1394434975799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435000487
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435071714
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435076913
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435082558
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435144607
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435645943
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435647616
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435648614
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435650706
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435691216
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1394435744752
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435745591
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435753261
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.saveAll",1394435766505
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435771419
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435879792
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435884176
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394435934103
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394436085124
