what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459047903
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459049296
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459064665
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459069684
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459071570
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1390459256581
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459257437
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1390459258922
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.saveAll",1390459266700
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459270118
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459271349
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459272319
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459273091
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.saveAll",1390459295371
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1390459312469
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459314381
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459314756
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459319764
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459321323
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459325206
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459326405
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459326718
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390459329802
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459332161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390459343659
