what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446472507
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446476123
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1394446477318
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446478622
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446480324
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446486896
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446497867
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446507985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446510496
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446512449
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446541145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446551308
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446553153
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446562178
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446574417
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446586735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446599376
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446636463
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446652970
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446667498
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446675139
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394446687046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1394446700454
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446703009
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394446717104
