what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1392867433331
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1392867433367
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867437987
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867455981
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1392867456933
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1392867459377
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1392867461265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867488040
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867506218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867508628
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867555814
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392867559842
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1392867560581
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392867561703
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392867561900
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1392867580802
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1392867581826
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867587078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867640724
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1392867643193
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1392867659733
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867664459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392867715291
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392867716877
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392867717082
