what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392619025542
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392619030324
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619035120
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619037134
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1392619037143
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392619039027
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392619042329
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619043164
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619044469
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619050524
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619058297
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619070491
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619080544
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619093534
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619110414
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619157790
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619158608
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619158892
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619166686
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392619208880
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619218006
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619219403
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619221802
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619231766
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392619242471
