what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394447239531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394458194161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459471017
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459840785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459859513
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459863553
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459904743
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394459917371
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1394459966067
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459967044
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459968906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459979654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394459989807
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1394460186801
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460189049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460238264
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1394460242520
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460246758
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460256939
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460268290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460315361
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460362802
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394460363872
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394460363989
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1394460386388
