what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392628909681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392628918432
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392628929870
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392628940743
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392629010036
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392629052217
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629053860
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629054352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629056765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629090963
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392629095553
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1392629102038
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1392629103330
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392629105376
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629106641
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629107038
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392629115312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629116349
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629117688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629119965
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629125751
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1392629129839
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392629131320
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629138766
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392629138863
