what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214471185
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392214471206
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1392214475745
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1392214479585
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1392214482208
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1392214483318
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1392214487139
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214489518
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.showKeyAssist",1392214489543
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214499089
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.add.block.comment",1392214511265
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392214529895
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214532057
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214533330
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214544287
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214553699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1392214565215
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214566256
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214629337
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214636475
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.showKeyAssist",1392214636486
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214637389
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214638351
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392214639198
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.line",1392214639202
