what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1396011651021
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1396011651022
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1396011651022
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1396011651023
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1396011651024
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1396011651025
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1396011651027
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1396011651028
started,bundle,net.sourceforge.eclipsesdcc,1.0.0,"net.sourceforge.eclipsesdcc",1396011651029
os,sysinfo,,,"win32",1396011651031
arch,sysinfo,,,"x86",1396011651031
ws,sysinfo,,,"win32",1396011651031
locale,sysinfo,,,"zh_TW",1396011651031
processors,sysinfo,,,"4",1396011651031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396011651031
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1396011651031
java.specification.name,sysinfo,,,"Java Platform API Specification",1396011651031
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396011651031
java.specification.version,sysinfo,,,"1.7",1396011651031
java.vendor,sysinfo,,,"Oracle Corporation",1396011651031
java.version,sysinfo,,,"1.7.0_51",1396011651031
java.vm.info,sysinfo,,,"mixed mode, sharing",1396011651031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396011651031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396011651031
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396011651031
