what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392123889102
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392123930745
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1392123959909
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392123988171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124054932
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392124060645
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1392124061453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124062827
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124063563
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1392124065171
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392124068402
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1392124071345
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1392124081300
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1392124083413
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1392124100104
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392124102021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124105198
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124105221
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124105231
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124106688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124108080
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1392124108439
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1392124109591
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1392124113672
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1392124130671
